id;nom;type;sous_type;masse_volumique_kg_m3;conductivite_w_mk;capacite_thermique_j_kgk;resistance_compression_mpa;module_young_gpa;resistance_traction_mpa;permeabilite_vapeur_mu;porosite_pct;reaction_feu_classe_euro;origine;contenu_recycle_pct;energie_grise_mj_kg;empreinte_carbone_kgco2e_kg;domaine_application;cout_eur_m2;fabricant;pays_origine;recyclable;durabilite_ans;sources;description;image_url
13;béton cellulaire;Minéral;AAC;300–700;0.09–0.16;1000;2–7;1–3;—;5–10;60–80;A1;Sable+chaux;0–20;3–5;0.15–0.3;Blocs isolants;70–120/m³;;Europe;Oui;80;Fiches techniques fabricants et revues (densité, conductivité thermique, résistance;Béton léger isolant;
14;airium;Minéral;Béton mousse;70–300;0.028–0.065;1000;non structural;—;—;5;70–90;A1;Ciment+mousse;0;1–3;0.05–0.1;Isolation, remplissage;150–300/m³;Lafarge / Holcim;EU;Oui;80;Fiche produit / brochure Airium : densités réglables, λ, euroclasse, perméabilité, données énergie grise / CO₂;Béton mousse;
15;bambou;Naturel;Fibre végétale;600–900;0.2;1200;40–80;10–20;120–250;2–5;50–70;D;Plante;100;2–5;très faible;Structures;3–6/m;;Asie;Oui;25;Revues scientifiques sur propriétés mécaniques (tensile, module, densité) et synthèses.;Fibre résistante;
16;titane;Métal;Ti-6Al-4V;4500;17;520;900–1100;100–120;800–900;étanche;<1;A1;Minerai;0–40;400–700;30;Aérospatial;25–50/kg;Aubert & Duval, WS Titanium;Monde;Oui;100;Fiches matériaux (MatWeb / ASM) et brochures industrielles (résistances, module, densité;Métal très performant;
17;tuf volcanique;Pierre naturelle;Roche volcanique;1000–1800;0.2–0.7;850;5–15;5–15;—;10;20–40;A1;Roche;0;0.3;0.05;Maçonnerie;80–150/m³;;Volcans;Oui;200;Etudes sur propriétés physiques/mécaniques des tufs (porosité, densité, conductivité;Pierre légère;
18;béton leger;Minéral;Granulats légers;800–1800;0.2–0.6;900;10–40;8–20;—;10–15;20–35;A1;Ciment+granulats;0–20;2–4;0.15–0.3;Murs, dalles;90–200/m³;;Monde;Oui;100;Articles et fiches techniques sur bétons allégés (densité, résistance, conductivité;Béton allégé;
19;Béton armé;Minéral;Béton fibré;2500;2,5;900 à 1000;50;40;5;1000;18;A1;Synthétique;30;2,5;0,13;Ponts, dalles, bâtiments, ouvrages d’art;80;laboratoires;France;Partiel;80;NF EN 206;doser et mélanger les matériaux, plaçer les armatures et laisser durcir le béton avec finition.;
20;La brique;Naturel;Briques biodégradables ;2200;1,2;900; 6.8;2,5;1;10;35;A1;Synthétique;30;1;0,1;bâtiments, ouvrages d’art;120;;France;oui;100;Guides APTE, fiche technique;Mélanger terre et stabilisant, compresser dans un moule, démouler, sécher et stocker.;
21;La laine Naturelle;naturelle/Minerale;laine de verre;40;0,045;1800;0,5;0,01;0,2;20;90;B‑s1, d0 ou A2‑s1;naturelle;15;0,6;0,06;Isolation thermique de murs, toitures, combles, doublages;40;Biofib;Europe;oui;45;CSTB, fiches techniques;Découper ou dérouler l’isolant selon l’épaisseur et la surface à couvrir, puis le placer entre les structures porteuses;
22;Panneau de fibres de bois;naturelle;Panneau en fibres de chanvre;800;250;2100;0,1;0,2;0,5;5;90;Classe E;naturelle;20;3;0,15;Isolation thermique des murs, toitures, sols, ITE.;45;STEICO;Europe;oui;50;CSTB, fiches techniques fabricants;poser les panneaux entre les structures porteuses et ajuster pour assurer continuité et absence de ponts thermiques.;
23;Panneau structurant isolant;Isolant;Panneau isolant à âme phénolique;250;0,03;1600;0,4;5;0,4;200;95;Classe E/D-s2,d0;Synthétique;10;15;0,6;Parement de Finition Intérieur;80;Kingspan, Enercept;canada, UK;OUI;100;CSTB, ACERMI, AFNOR;Créer noyau isolant, ajouter parements, coller, presser, tailler, contrôler.;
24;Céramique;Minéral;Carbure de silicium;2600;1,3;1100;200;120;30;200;20;A1;naturelle;30;7;0,45;Équipements techniques;50;Wienerberger, Terreal;Italie,chine,France;partiel;100;EN 14617;Façonner argile, sécher, cuire, émailler, contrôler, emballer, livrer.;
25;Platre;Minéral;ciment;1200;0,25;1100;15;5;3;15;60;;Synthétique;30;1,5;0,15;Enduits et finitions murales;25;Placoplatre, Lafarge;Europe;partiel;50;marquage CE;Extraire gypse, broyer, chauffer, moudre, mélanger, mouler, sécher, emballer.;
26;Béton GBR;Minéral;béton ordinaire;2400;1,8;1000;25-120;35;5;50;15;A1;Synthétique;95;1,5;0,4;Dallage, fondations, murs, routes, ouvrage;60;Solidia, Zeobond;Allemagne,France,Usa;oui;100;NF P 18-545;Trier concasser béton ajouter liant mélanger couler vibrer durcir.;
27;Ciment Géopolymère;céramiques;Géopolymères hybrides;2200;1,2;1000;30-120;35;8;60;20;A2;Synthétique;40;1,5;0,2;routes, pavés, bordures, ouvrages à faible impact carbone;150;Lafarge (R&D géopolymères);Allemagne, USA;oui;100;EN 13813;Mélanger aluminosilicates, ajouter alcalins, couler, laisser réagir et durcir;
